Capital City;Latitude;Longitude;Population
København (Copenhagen);55,6759;12,5655;1320826
Tiranë (Tirana);41,3275;19,8189;475577
Wien (Vienna);48,2064;16,3707;1900547
Minsk;53,9;27,5667;2004672
Bruxelles-Brussel;50,8467;4,3499;2049510
Sarajevo;43,8486;18,3564;342577
Sofia;42,6975;23,3242;1272418
Zagreb;45,8144;15,978;685587
Praha (Prague);50,088;14,4208;1291552
Tallinn;59,437;24,7535;437027
Helsinki;60,1692;24,9402;1279096
Paris;48,8534;2,3488;10900952
Berlin;52,5244;13,4105;3552123
Athínai (Athens);37,9534;23,749;3155600
Budapest;47,498;19,0399;1759497
Reykjavík;64,1355;-21,8954;216364
Dublin;53,3331;-6,2489;1201426
Roma (Rome);41,8947;12,4811;4209710
Riga;56,946;24,1059;637089
Vilnius;54,6892;25,2798;536055
Luxembourg;49,6117;6,13;119752
Podgorica;42,4411;19,2636;177177
Amsterdam;52,374;4,8897;1131690
Oslo;59,9127;10,7461;1012225
Warszawa (Warsaw);52,2298;21,0118;1767798
Lisboa (Lisbon);38,7169;-9,1399;2927316
Chişinău;47,0056;28,8575;509707
Bucuresti (Bucharest);44,4328;26,1043;1821380
Moskva (Moscow);55,755;37,6218;12409738
Beograd (Belgrade);44,8176;20,4633;1389351
Bratislava;48,1482;17,1067;429920
Ljubljana;46,0511;14,5051;286491
Madrid;40,4165;-3,7026;6497124
Stockholm;59,3326;18,0649;1582968
Bern;46,9481;7,4474;422153
Skopje;42,0;21,4333;584208
Kyiv (Kiev);50,4454;30,5186;2956706
London;51,5085;-0,1257;9046485
